id,symbol,name,isin
4485,ARIHANTRED,Arihant Threads Ltd,INE747A01018
3138,526125,Arihant Tournesol Ltd,INE00HZ01011
5290,531017,Arihants Securities Ltd,INE190D01015
14445,531677,Aris International Ltd,INE588E01026
3875,514396,ARM Polymers Ltd,
6070,ARMANFIN,Arman Financial Services Ltd,INE109C01017
26630,538556,Arman Holdings Ltd,INE510P01018
13457,531467,Arnav Corporation Ltd,INE647D01014
26043,537069,Arnold Holdings Ltd,INE185K01036
4719,AROGRANITE,Aro Granite Industries Ltd,INE210C01013
14711,531560,Aroma Enterprises (India) Ltd,INE371M01012
3809,ARROWGREEN,Arrow Greentech Ltd,INE570D01018
30326,ARROWTEX,Arrow Textiles Ltd,INE933J01015
2004,ARSHIYA,Arshiya Ltd,INE968D01022
29368,ARSSINFRA,ARSS Infrastructure Projects Ltd,INE267I01010
68825,ARTNIRMAN,Art Nirman Ltd,INE738V01013
4130,517481,Artech Power Products Ltd,INE421N01021
73087,ARTEDZ,Artedz Fabs Ltd,INE00CO01016
5779,531297,Artefact Projects Ltd,INE885B01014
68823,542670,Artemis Electricals Ltd,INE757T01017
68425,AGLSL,Artemis Global Life Sciences Ltd,INE517U01013
34503,ARTEMISMED,Artemis Medicare Services Ltd,INE025R01013
2662,ARTSONENGG,Artson Engineering Ltd,INE133D01023
28,ARUNASUGAR,Aruna Hotels Ltd,INE957C01019
5286,530881,Arunjyoti Bio Ventures Ltd,INE485K01014
1593,502700,Arunoday Mills Ltd,INE469E01011
71824,ARVEE,Arvee Laboratories (India) Ltd,INE006Z01016
72051,ARVINDFASN,Arvind Fashions Ltd,INE955V01021
29,ARVIND,Arvind Ltd,INE034A01011
40790,ARVSMART,Arvind SmartSpaces Ltd,INE034S01021
45919,538716,Aryaman Capital Markets Ltd,INE229R01011
4921,530245,Aryaman Financial Services Ltd,INE032E01017
51532,542176,Aryan Share & Stock Brokers Ltd,INE016X01010
6347,539455,Aryavan Enterprise Ltd,INE360S01012
1024,ASAHIINDIA,Asahi India Glass Ltd,INE439A01020
4521,514482,Asahi Industries Ltd,INE745I01015
3197,512535,Asahi Infrastructure & Projects Ltd,INE933C01036
27740,ASAHISONG,Asahi Songwon Colors Ltd,INE228I01012
