id,mstarId,name,isin
231,F000003WSO,ICICI Prudential Corporate Bond Fund Daily Dividend Reinvestment,INF109K01CR9
232,F00000PCS5,ICICI Prudential Corporate Bond Fund Direct Plan Daily Dividend Reinvestment,INF109K013B8
233,F00000PFLN,ICICI Prudential Corporate Bond Fund Direct Plan Fortnightly Dividend Payout,INF109K015B3
234,F00000PCS6,ICICI Prudential Corporate Bond Fund Direct Plan Growth,INF109K016B1
235,F00000U565,ICICI Prudential Corporate Bond Fund Direct Plan Half Yearly Dividend Payout Option,
236,F00000PFLK,ICICI Prudential Corporate Bond Fund Direct Plan Monthly Dividend Payout,INF109K018B7
237,F00000PFLO,ICICI Prudential Corporate Bond Fund Direct Plan Quarterly Dividend Payout,INF109K012C8
238,F00000PCS7,ICICI Prudential Corporate Bond Fund Direct Plan Weekly Dividend Payout,INF109K011C0
239,F00000Z8AX,ICICI Prudential Corporate Bond Fund Fortnightly Dividend Reinvestment,INF109K01CS7
240,F000003WSL,ICICI Prudential Corporate Bond Fund Growth,INF109K01CQ1
241,F00000W6GH,ICICI Prudential Corporate Bond Fund Half Yearly Dividend Payout Option,INF109KA1N04
242,F00000Z8AZ,ICICI Prudential Corporate Bond Fund Monthly Dividend Reinvestment,INF109K01CT5
245,F00000Z8B6,ICICI Prudential Corporate Bond Fund Weekly Dividend Reinvestment,INF109K01SM6
246,F00000Z8B1,ICICI Prudential Corporate Bond Fund Quarterly Dividend Reinvestment,INF109K01SO2
253,F00000Z8DU,IDFC Corporate Bond Fund Regular Plan Monthly Dividend Reinvestment,INF194KA1R28
254,F00000XIEO,IDFC Corporate Bond Fund Direct Plan Annual Dividend Payout,INF194KA1T34
255,F00000WRK5,IDFC Corporate Bond Fund Direct Plan Growth,INF194KA1M23
256,F00000X9NL,IDFC Corporate Bond Fund Direct Plan Monthly Dividend Payout,INF194KA1S43
257,F00000Z8DO,IDFC Corporate Bond Fund Direct Plan Dividend Reinvestment,INF194KA1M31
258,F00000Z8DQ,IDFC Corporate Bond Fund Direct Plan Quarterly Dividend Reinvestment,INF194KA1S76
259,F00000Z8DR,IDFC Corporate Bond Fund Regular Plan Annual Dividend Reinvestment,INF194KA1L99
260,F00000WRK3,IDFC Corporate Bond Fund Regular Plan Growth,INF194KA1L81
261,F00000Z8DT,IDFC Corporate Bond Fund Regular Plan Half Yearly Dividend Reinvestment,INF194KA1R85
262,F00000Z8DS,IDFC Corporate Bond Fund Regular Plan Dividend Reinvestment,
263,F00000Z8DV,IDFC Corporate Bond Fund Regular Plan Quarterly Dividend Reinvestment,INF194KA1R51
